HVS_lD,Basisszenario,FS-Art,FS-Aufkommen,FS-Geschwindigkeit,RVA-Breite,RVA-Lage,RVA-Oberfläche,Tr_li-Breite,Tr_li-Markierung,Tr_li-baulTrennung,Tr_re-Breite,Tr_re-Markierung,Parken,Kamera,Kommentar,SceneID,Häufigkeit,meherere_Kameraperspektive
812,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,-,-,-,-,C,,01_MS_C_812,1,nein
842,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,-,-,-,-,C,,01_MS_C_842,1,ja
868,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_868,1,nein
886,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_886,1,ja
904,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_904,1,nein
922,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_922,1,ja
940,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_940,1,nein
958,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_958,1,ja
976,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_976,1,nein
994,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_994,1,ja
1012,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_1012,1,nein
1030,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_1030,1,ja
1048,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_1048,1,nein
1066,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_1066,1,ja
1083,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,Sperrpfosten_hoch,-,-,-,C,,01_MS_C_1083,1,nein
1101,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,Sperrpfosten_hoch,-,-,-,C,,01_MS_C_1101,1,ja
1119,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,Sperrpfosten_hoch,-,-,-,C,,01_MS_C_1119,1,nein
1137,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,Sperrpfosten_hoch,-,-,-,C,,01_MS_C_1137,1,ja
1155,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,Sperrpfosten_hoch,-,-,-,C,,01_MS_C_1155,1,nein
1173,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,Sperrpfosten_hoch,-,-,-,C,,01_MS_C_1173,1,ja
1191,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,Sperrpfosten_hoch,-,-,-,C,,01_MS_C_1191,1,nein
1209,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,Sperrpfosten_hoch,-,-,-,C,,01_MS_C_1209,1,ja
1227,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,Sperrpfosten_hoch,-,-,-,C,,01_MS_C_1227,1,nein
1245,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,Sperrpfosten_hoch,-,-,-,C,,01_MS_C_1245,1,ja
1263,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,Sperrpfosten_hoch,-,-,-,C,,01_MS_C_1263,1,nein
1281,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,Sperrpfosten_hoch,-,-,-,C,,01_MS_C_1281,1,ja
1300,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,Blumenkasten,-,-,-,C,,01_MS_C_1300,1,nein
1318,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,Blumenkasten,-,-,-,C,,01_MS_C_1318,1,ja
1336,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,Blumenkasten,-,-,-,C,,01_MS_C_1336,1,nein
1354,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,Blumenkasten,-,-,-,C,,01_MS_C_1354,1,ja
1372,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,Blumenkasten,-,-,-,C,,01_MS_C_1372,1,nein
1390,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,Blumenkasten,-,-,-,C,,01_MS_C_1390,1,ja
1408,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,Blumenkasten,-,-,-,C,,01_MS_C_1408,1,nein
1426,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,Blumenkasten,-,-,-,C,,01_MS_C_1426,1,ja
1444,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,Blumenkasten,-,-,-,C,,01_MS_C_1444,1,nein
1462,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,Blumenkasten,-,-,-,C,,01_MS_C_1462,1,ja
1480,4,Tram,normal,50,breit,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,Blumenkasten,-,-,-,C,,01_MS_C_1480,1,nein
1498,4,Tram,normal,30,breit,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,Blumenkasten,-,-,-,C,,01_MS_C_1498,1,ja
5,5,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_5,1,nein
21,5,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_21,1,nein
28,5,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_28,1,nein
37,5,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_37,1,nein
51,5,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_51,1,ja
67,5,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_67,1,ja
74,5,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_74,1,nein
83,5,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_83,1,nein
95,5,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_95,1,nein
105,5,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_105,1,nein
110,5,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_110,1,nein
115,5,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_115,1,nein
125,5,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_125,1,ja
135,5,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_135,1,ja
140,5,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_140,1,nein
145,5,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_145,1,nein
155,5,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_155,1,nein
165,5,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_165,1,nein
170,5,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_170,1,nein
175,5,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_175,1,nein
185,5,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_185,1,ja
195,5,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_195,1,ja
200,5,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_200,1,nein
205,5,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,Längs,C,,01_MS_C_205,1,nein
215,5,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_215,1,nein
225,5,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_225,1,nein
230,5,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_230,1,nein
235,5,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_235,1,nein
245,5,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_245,1,ja
255,5,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_255,1,ja
260,5,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_260,1,nein
265,5,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_265,1,nein
275,5,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_275,1,nein
285,5,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_285,1,nein
290,5,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_290,1,nein
295,5,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_295,1,nein
305,5,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_305,1,ja
315,5,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_315,1,ja
320,5,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_320,1,nein
325,5,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_325,1,nein
335,5,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_335,1,nein
345,5,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_345,1,nein
350,5,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_350,1,nein
355,5,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_355,1,nein
365,5,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_365,1,ja
375,5,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_375,1,ja
380,5,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_380,1,nein
385,5,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,Längs,C,,01_MS_C_385,1,nein
395,5,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_395,1,nein
405,5,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_405,1,nein
410,5,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_410,1,nein
415,5,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_415,1,nein
425,5,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_425,1,ja
435,5,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_435,1,ja
440,5,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_440,1,nein
445,5,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_445,1,nein
455,5,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_455,1,nein
465,5,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_465,1,nein
470,5,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_470,1,nein
475,5,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_475,1,nein
485,5,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_485,1,ja
495,5,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_495,1,ja
500,5,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_500,1,nein
505,5,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_505,1,nein
515,5,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_515,1,nein
525,5,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_525,1,nein
530,5,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_530,1,nein
535,5,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_535,1,nein
545,5,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_545,1,ja
555,5,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_555,1,ja
560,5,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_560,1,nein
565,5,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,-,-,-,Längs,C,,01_MS_C_565,1,nein
683,5,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_683,1,nein
693,5,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_693,1,nein
698,5,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_698,1,nein
703,5,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_703,1,nein
713,5,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_713,1,ja
723,5,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_723,1,ja
728,5,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_728,1,nein
733,5,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_733,1,nein
743,5,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_743,1,nein
753,5,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_753,1,nein
758,5,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_758,1,nein
763,5,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_763,1,nein
773,5,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_773,1,ja
783,5,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_783,1,ja
788,5,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_788,1,nein
793,5,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_793,1,nein
803,5,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_803,1,nein
813,5,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_813,1,nein
818,5,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_818,1,nein
823,5,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_823,1,nein
833,5,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_833,1,ja
843,5,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_843,1,ja
848,5,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_848,1,nein
853,5,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,-,-,-,Längs,C,,01_MS_C_853,1,nein
1509,5,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1509,1,nein
1513,5,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1513,1,nein
1515,5,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1515,1,nein
1517,5,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1517,1,nein
1521,5,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1521,1,ja
1525,5,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1525,1,ja
1527,5,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1527,1,nein
1529,5,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1529,1,nein
1533,5,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1533,1,nein
1537,5,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1537,1,nein
1539,5,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1539,1,nein
1541,5,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1541,1,nein
1545,5,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1545,1,ja
1549,5,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1549,1,ja
1551,5,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1551,1,nein
1553,5,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1553,1,nein
1557,5,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1557,1,nein
1561,5,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1561,1,nein
1563,5,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1563,1,nein
1565,5,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1565,1,nein
1569,5,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1569,1,ja
1573,5,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1573,1,ja
1575,5,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1575,1,nein
1577,5,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,schmal,durchgezogen,Längs,C,,01_MS_C_1577,1,nein
1581,5,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,schmal,durchgezogen,Längs,C,,01_MS_C_1581,1,nein
1585,5,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,schmal,durchgezogen,Längs,C,,01_MS_C_1585,1,nein
1587,5,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,schmal,durchgezogen,Längs,C,,01_MS_C_1587,1,nein
1589,5,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,schmal,durchgezogen,Längs,C,,01_MS_C_1589,1,nein
1593,5,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,schmal,durchgezogen,Längs,C,,01_MS_C_1593,1,ja
1597,5,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,schmal,durchgezogen,Längs,C,,01_MS_C_1597,1,ja
1599,5,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,schmal,durchgezogen,Längs,C,,01_MS_C_1599,1,nein
1601,5,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,schmal,durchgezogen,Längs,C,,01_MS_C_1601,1,nein
