SR_lD,Basisszenario,Kamera,Links_RVA,Tr_li-Breite,Tr_li-Art,Tr_li_baulTrennung,RVA-Breite,Tr_re-Breite,Tr_re-Art,GW-Breite,GW-Geschaeftsnutzung,Haeuserfront,SceneID,Häufigkeit
67,01,C,Parken,breit,Gruenstreifen,-,schmal,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_67,1
68,01,C,Parken,breit,Aufpflasterung,-,schmal,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_68,1
69,01,C,Parken,schmal,Gruenstreifen,Sperrpfosten,schmal,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_69,1
70,01,C,Parken,schmal,Aufpflasterung,Sperrpfosten,schmal,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_70,1
71,01,C,Parken,breit,Gruenstreifen,Sperrpfosten,schmal,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_71,1
72,01,C,Parken,breit,Aufpflasterung,Sperrpfosten,schmal,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_72,1
73,01,C,Parken,-,-,-,schmal,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_73,1
74,01,C,Parken,schmal,Gruenstreifen,-,schmal,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_74,1
75,01,C,Parken,schmal,Aufpflasterung,-,schmal,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_75,1
76,01,C,Parken,breit,Gruenstreifen,-,schmal,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_76,1
77,01,C,Parken,breit,Aufpflasterung,-,schmal,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_77,1
78,01,C,Parken,schmal,Gruenstreifen,Sperrpfosten,schmal,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_78,1
79,01,C,Parken,schmal,Aufpflasterung,Sperrpfosten,schmal,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_79,1
80,01,C,Parken,breit,Gruenstreifen,Sperrpfosten,schmal,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_80,1
81,01,C,Parken,breit,Aufpflasterung,Sperrpfosten,schmal,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_81,1
82,01,C,Parken,-,-,-,schmal,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_82,1
83,01,C,Parken,schmal,Gruenstreifen,-,schmal,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_83,1
84,01,C,Parken,schmal,Aufpflasterung,-,schmal,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_84,1
85,01,C,Parken,breit,Gruenstreifen,-,schmal,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_85,1
86,01,C,Parken,breit,Aufpflasterung,-,schmal,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_86,1
87,01,C,Parken,schmal,Gruenstreifen,Sperrpfosten,schmal,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_87,1
88,01,C,Parken,schmal,Aufpflasterung,Sperrpfosten,schmal,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_88,1
89,01,C,Parken,breit,Gruenstreifen,Sperrpfosten,schmal,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_89,1
90,01,C,Parken,breit,Aufpflasterung,Sperrpfosten,schmal,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_90,1
91,01,C,Parken,-,-,-,schmal,-,-,schmal,-,Gruenanlage,01_CP_C_91,1
92,01,C,Parken,schmal,Gruenstreifen,-,schmal,-,-,schmal,-,Gruenanlage,01_CP_C_92,1
93,01,C,Parken,schmal,Aufpflasterung,-,schmal,-,-,schmal,-,Gruenanlage,01_CP_C_93,1
94,01,C,Parken,breit,Gruenstreifen,-,schmal,-,-,schmal,-,Gruenanlage,01_CP_C_94,1
