Experiment,Kamera,HVS_lD,SceneID,weight,Basisszenario,FS-Art,FS-Aufkommen,FS-Geschwindigkeit,RVA-Breite,RVA-Lage,RVA-Oberfläche,Tr_li-Breite,Tr_li-Markierung,Tr_li-baulTrennung,Tr_re-Breite,Tr_re-Markierung,Parken,Raus
MS,C,160,01_MS_C_160,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Doppellinie,Sperrpfosten-niedrig,-,-,-,
MS,C,163,01_MS_C_163,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Sperrpfosten-niedrig,-,-,-,
MS,C,164,01_MS_C_164,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Sperrpfosten-niedrig,-,-,-,
MS,C,167,01_MS_C_167,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Sperrpfosten-niedrig,-,-,-,
MS,C,168,01_MS_C_168,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Sperrpfosten-niedrig,-,-,-,
MS,C,171,01_MS_C_171,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,172,01_MS_C_172,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,175,01_MS_C_175,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,176,01_MS_C_176,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,187,01_MS_C_187,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Blumenkasten,-,-,-,
MS,C,188,01_MS_C_188,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Blumenkasten,-,-,-,
MS,C,191,01_MS_C_191,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Blumenkasten,-,-,-,
MS,C,192,01_MS_C_192,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Blumenkasten,-,-,-,
MS,C,195,01_MS_C_195,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,schmal,durchgezogen,-,-,-,-,
MS,C,196,01_MS_C_196,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,schmal,durchgezogen,-,-,-,-,
MS,C,199,01_MS_C_199,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,200,01_MS_C_200,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,201,01_MS_C_201,1,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,
MS,C,202,01_MS_C_202,1,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,
MS,C,205,01_MS_C_205,1,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,schmal,unterbrochen,-,-,-,-,
MS,C,206,01_MS_C_206,1,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,schmal,unterbrochen,-,-,-,-,
MS,C,209,01_MS_C_209,1,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,-,
MS,C,210,01_MS_C_210,1,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,-,
MS,C,213,01_MS_C_213,1,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,schmal,durchgezogen,-,-,-,-,
MS,C,214,01_MS_C_214,1,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,schmal,durchgezogen,-,-,-,-,
MS,C,217,01_MS_C_217,1,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,
MS,C,218,01_MS_C_218,1,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,
MS,C,221,01_MS_C_221,1,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Doppellinie,-,-,-,-,
MS,C,222,01_MS_C_222,1,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Doppellinie,-,-,-,-,
MS,C,225,01_MS_C_225,1,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,-,-,-,-,
MS,C,226,01_MS_C_226,1,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,-,-,-,-,
MS,C,229,01_MS_C_229,1,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,-,-,-,-,
MS,C,230,01_MS_C_230,1,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,-,-,-,-,
MS,C,241,01_MS_C_241,1,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Sperrpfosten-hoch,-,-,-,
MS,C,242,01_MS_C_242,1,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Sperrpfosten-hoch,-,-,-,
